2, 100, 1352
2, 200, 857
2, 300, 1056
2, 400, 1226
2, 500, 1033
2, 600, 595
2, 700, 590
2, 800, 599
2, 900, 615
2, 1000, 963
2, 1100, 610
2, 1200, 444
2, 1300, 594
4, 100, 849
4, 200, 1173
4, 300, 853
4, 400, 2058
4, 500, 1624
4, 600, 1270
4, 700, 1334
4, 800, 1349
4, 900, 1507
4, 1000, 3038
4, 1100, 1177
4, 1200, 1216
4, 1300, 1171
8, 100, 2249
8, 200, 2281
8, 300, 1785
8, 400, 4039
8, 500, 3922
8, 600, 2487
8, 700, 2958
8, 800, 6270
8, 900, 1808
8, 1000, 1668
8, 1100, 1674
8, 1200, 1677
8, 1300, 1658
16, 100, 7280
16, 200, 4482
16, 300, 4711
16, 400, 4610
16, 500, 3362
16, 600, 13210
16, 700, 4163
16, 800, 5037
16, 900, 4557
16, 1000, 4823
16, 1100, 4530
16, 1200, 4509
16, 1300, 6399
2, 100, 1186
2, 200, 929
2, 300, 925
2, 400, 1103
2, 500, 1068
2, 600, 661
2, 700, 688
2, 800, 650
2, 900, 638
2, 1000, 643
2, 1100, 2353
2, 1200, 763
2, 1300, 762
4, 100, 1339
4, 200, 1345
4, 300, 1370
4, 400, 1372
4, 500, 1352
4, 600, 1329
4, 700, 2162
4, 800, 1675
4, 900, 1276
4, 1000, 1150
4, 1100, 865
4, 1200, 869
4, 1300, 865
8, 100, 2002
8, 200, 5918
8, 300, 2328
8, 400, 1733
8, 500, 1660
8, 600, 1697
8, 700, 3637
8, 800, 1720
8, 900, 2201
8, 1000, 2209
8, 1100, 4402
8, 1200, 2786
8, 1300, 2238
16, 100, 3876
16, 200, 5412
16, 300, 4131
16, 400, 5825
16, 500, 4260
16, 600, 3680
16, 700, 5593
16, 800, 3660
16, 900, 3584
16, 1000, 6039
16, 1100, 4480
16, 1200, 3777
16, 1300, 4629
2, 100, 1035
2, 200, 688
2, 300, 694
2, 400, 902
2, 500, 1722
2, 600, 542
2, 700, 457
2, 800, 421
2, 900, 496
2, 1000, 475
2, 1100, 429
2, 1200, 440
2, 1300, 481
4, 100, 849
4, 200, 886
4, 300, 835
4, 400, 845
4, 500, 842
4, 600, 859
4, 700, 839
4, 800, 859
4, 900, 843
4, 1000, 1767
4, 1100, 1061
4, 1200, 1158
4, 1300, 841
8, 100, 1797
8, 200, 1636
8, 300, 1619
8, 400, 1768
8, 500, 1837
8, 600, 1943
8, 700, 1918
8, 800, 1891
8, 900, 1969
8, 1000, 1942
8, 1100, 1891
8, 1200, 1938
8, 1300, 1945
16, 100, 3831
16, 200, 3994
16, 300, 4032
16, 400, 4663
16, 500, 5289
16, 600, 4304
16, 700, 3187
16, 800, 3542
16, 900, 3581
16, 1000, 4471
16, 1100, 4255
16, 1200, 4378
16, 1300, 3793
2, 100, 107018140180
2, 200, 106748401436
2, 300, 101891038780
2, 400, 110868613154
2, 500, 97624926774
2, 600, 106142857017
2, 700, 112028984025
2, 800, 102463163410
2, 900, 94656927458
2, 1000, 101801932599
2, 1100, 113376972420
2, 1200, 112485233592
2, 1300, 95118726338
4, 100, 199554488150
4, 200, 226233983773
4, 300, 214045238513
4, 400, 221317455761
4, 500, 207836860610
4, 600, 220326683351
4, 700, 212298099891
4, 800, 227204298808
4, 900, 215853108442
4, 1000, 210424995099
4, 1100, 216823512475
4, 1200, 211109532141
4, 1300, 215495306213
8, 100, 415277739116
8, 200, 433312857393
8, 300, 430863777211
8, 400, 432862683452
8, 500, 425121729538
8, 600, 429277911555
8, 700, 442811578836
8, 800, 436908481068
8, 900, 432202898749
8, 1000, 425716710584
8, 1100, 436856654616
8, 1200, 430184350877
8, 1300, 430522573952
16, 100, 864258871592
16, 200, 855847161858
16, 300, 867600686888
16, 400, 856763241454
16, 500, 862116472264
16, 600, 856437947132
16, 700, 854177078116
16, 800, 868131029257
16, 900, 859959488719
16, 1000, 859957866665
16, 1100, 862316867072
16, 1200, 854326153667
16, 1300, 866176685542
