2, 100, 14854
2, 200, 15755
2, 300, 18580
2, 400, 22672
2, 500, 26088
2, 600, 24955
2, 700, 28306
2, 800, 31331
2, 900, 30568
2, 1000, 34749
2, 1100, 33714
2, 1200, 33200
2, 1300, 34302
4, 100, 22210
4, 200, 26972
4, 300, 31624
4, 400, 36211
4, 500, 35593
4, 600, 45947
4, 700, 47050
4, 800, 55978
4, 900, 62610
4, 1000, 66589
4, 1100, 68563
4, 1200, 67638
4, 1300, 73759
8, 100, 42726
8, 200, 50196
8, 300, 67419
8, 400, 77446
8, 500, 87380
8, 600, 100281
8, 700, 110137
8, 800, 107563
8, 900, 115508
8, 1000, 121535
8, 1100, 125549
8, 1200, 127636
8, 1300, 133483
16, 100, 85791
16, 200, 99485
16, 300, 119162
16, 400, 136588
16, 500, 149837
16, 600, 180743
16, 700, 200332
16, 800, 210725
16, 900, 225596
16, 1000, 244639
16, 1100, 252595
16, 1200, 253009
16, 1300, 273032
